,Manufacturer,Model Name,Category,Screen Size,Screen,CPU,RAM,Storage,GPU,Operating System,Operating System Version,Weight,Price,Pixel,full_hd,ips panel,touchscreen,4k ultra hd,quad hd+,retina display,CPU-a,CPU-b,SSD,HDD,Flash_storage,Hybrid_storage,GPU-a,GPU-b,MX_GPU,Gr_AMDc,Gr_AMDr,GTX_card
0,Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8,128GB SSD,Intel Iris Plus Graphics 640,macOS,No_ver,1.37,33950.691918000004,2560x1600,0,1,0,0,0,1,Intel Core i5,2.3,128,0,0,0,Intel Iris Plus Graphics,640,0,0,0,0
1,Apple,Macbook Air,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8,128GB Flash Storage,Intel HD Graphics 6000,macOS,No_ver,1.34,22781.117268,1440x900,0,0,0,0,0,0,Intel Core i5,1.8,0,0,128,0,Intel HD Graphics,6000,0,0,600,0
2,HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,No OS,No_ver,1.86,14571.765,1920x1080,1,0,0,0,0,0,Intel Core i5,2.5,256,0,0,0,Intel HD Graphics,620,0,620,0,0
3,Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.7GHz,16,512GB SSD,AMD Radeon Pro 455,macOS,No_ver,1.83,64304.56539,2880x1800,0,1,0,0,0,1,Intel Core i7,2.7,512,0,0,0,AMD Radeon,455,0,0,455,0
4,Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 3.1GHz,8,256GB SSD,Intel Iris Plus Graphics 650,macOS,No_ver,1.37,45707.19192,2560x1600,0,1,0,0,0,1,Intel Core i5,3.1,256,0,0,0,Intel Iris Plus Graphics,650,0,0,650,0
5,Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4,500GB HDD,AMD Radeon R5,Windows,10,2.1,10136.88,1366x768,0,0,0,0,0,0,AMD A9-Series,3.0,0,500,0,0,AMD Radeon,R5,0,0,0,0
6,Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.2GHz,16,256GB Flash Storage,Intel Iris Pro Graphics,Mac OS,No_ver,2.04,54231.547734,2880x1800,0,1,0,0,0,1,Intel Core i7,2.2,0,0,256,0,Intel Iris Pro,Graphics,0,530,0,0
7,Apple,Macbook Air,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8,256GB Flash Storage,Intel HD Graphics 6000,macOS,No_ver,1.34,29364.00714,1440x900,0,0,0,0,0,0,Intel Core i5,1.8,0,0,256,0,Intel HD Graphics,6000,0,0,600,0
8,Asus,ZenBook UX430UN,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Nvidia GeForce MX150,Windows,10,1.3,37886.589,1920x1080,1,0,0,0,0,0,Intel Core i7,1.8,512,0,0,0,Nvidia GeForce,MX150,150,0,0,0
9,Acer,Swift 3,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows,10,1.6,19513.494,1920x1080,1,1,0,0,0,0,Intel Core i5,1.6,256,0,0,0,Intel UHD Graphics,620,0,620,0,0
